date_time,platform,song_id,user_id
2002-06-15,app,1512,351
2003-06-17,mobile,1127,522
2008-03-17,app,1161,905
2003-08-19,mobile,82,1703
2015-09-02,app,435,302
2014-03-10,mobile,1613,1956
2008-12-07,mobile,284,1683
2009-05-15,app,536,642
2013-07-20,mobile,1445,1344
2013-12-26,desktop,500,1803
2015-12-29,mobile,1230,1806
2012-02-10,mobile,19,1277
2009-07-05,app,163,1606
2011-05-29,desktop,1426,1455
2009-05-17,app,1764,1930
2016-01-21,app,811,813
2009-06-01,app,1966,112
2006-11-25,app,4,70
2018-08-27,mobile,1025,1290
2000-06-13,desktop,1266,596
2007-04-19,desktop,878,1858
2001-03-09,app,1926,1111
2004-09-16,desktop,828,293
2013-05-07,app,1685,955
2017-06-30,mobile,1735,410
2014-08-22,desktop,1679,1260
2004-11-22,app,960,925
2017-01-22,mobile,456,185
2007-03-05,app,1068,271
2017-10-09,mobile,1984,1852
2005-05-17,app,419,1119
2008-11-17,mobile,480,192
2003-01-29,mobile,1441,700
2008-03-07,mobile,203,293
2002-12-27,mobile,1004,1677
2003-08-27,mobile,1153,1003
2003-01-12,desktop,1707,1967
2017-03-05,app,1832,1843
2014-11-17,desktop,521,1688
2005-05-05,app,386,245
2013-12-11,app,1495,69
2000-08-05,mobile,151,615
2004-02-18,desktop,1560,1626
2006-10-29,app,1436,1878
2012-12-27,mobile,143,580
2016-12-28,desktop,1066,1373
2016-05-03,app,1814,1288
2014-12-28,app,480,81
2015-05-17,app,943,582
2016-06-12,mobile,784,1015
2007-03-25,app,222,877
2009-11-21,desktop,18,1202
2009-08-29,app,1349,188
2003-05-28,app,515,399
2017-08-07,mobile,271,154
2015-06-26,desktop,1485,606
2016-09-27,desktop,437,1167
2017-07-27,app,1134,154
2012-04-10,desktop,163,358
2014-06-26,mobile,1530,1152
2017-03-23,mobile,1678,840
2014-09-11,app,240,133
2014-08-12,app,1109,745
2011-09-26,app,810,1448
2007-03-26,app,60,1367
2010-12-26,mobile,74,1137
2011-02-28,desktop,466,1714
2018-08-10,desktop,1229,504
2007-05-29,desktop,294,1606
2005-06-19,mobile,1339,1095
2000-11-20,desktop,1899,1028
2016-10-04,app,1639,987
2015-11-22,desktop,1691,1976
2002-02-07,desktop,185,1949
2017-06-22,desktop,625,1600
2018-07-15,mobile,1524,1198
2011-07-05,mobile,1254,577
2003-03-23,desktop,401,1648
2005-03-23,desktop,1974,1541
2003-06-21,desktop,263,153
2004-09-25,mobile,1141,1482
2001-01-05,mobile,788,1447
2005-08-26,desktop,85,929
2018-07-07,app,1570,1271
2008-02-23,app,1157,402
2013-03-18,mobile,483,1548
2010-01-16,mobile,390,329
2001-03-07,app,739,289
